name,database_id,degree_weighted,betweenness_unweighted,clustering_unweighted,k_shell,role
Yan Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:98,176,0.0370593316731733,0.0481818181818181,9,broker
David Lo 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:212,140,0.0345854276832943,0.0505652620760534,9,broker
Rick Kazman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:342,71,0.0296880150658491,0.0780684104627766,10,broker
Patrizio Pelliccione,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1505,78,0.0246984997339844,0.0642690642690642,9,broker
Thomas Zimmermann 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13,53,0.0185799296075649,0.0892597968069666,8,broker
Christoph Treude,4:a207e2fc-2358-4733-aaec-376a2c17a19b:63,66,0.0178553714372518,0.0797202797202797,8,broker
Hongyu Zhang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:168,173,0.0174870593260206,0.0543755881166823,15,broker
Danny Weyns,4:a207e2fc-2358-4733-aaec-376a2c17a19b:997,77,0.0169347174320497,0.1165413533834586,22,broker
Alexander Serebrenik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:668,52,0.0152495517440371,0.0716440422322775,8,broker
Xin Xia 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:242,94,0.0148491635063751,0.0803019903912148,9,broker
John C. Grundy,4:a207e2fc-2358-4733-aaec-376a2c17a19b:683,77,0.0145637440254172,0.0632262474367737,8,broker
Nenad Medvidovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1889,52,0.0142086517108225,0.1101055806938159,10,broker
Christian Kästner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2041,68,0.0133902550637191,0.0702370500438981,8,broker
Mike Papadakis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:300,46,0.0129498102731771,0.0975845410628019,9,broker
Rafael Prikladnicki,4:a207e2fc-2358-4733-aaec-376a2c17a19b:897,59,0.0120222408918785,0.157218001168907,20,broker
Yuanfang Cai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:923,55,0.0119086910988814,0.1191919191919192,10,broker
Catia Trubiani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10784,43,0.0118594419835335,0.1339977851605758,11,broker
Xiapu Luo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:327,80,0.0115165750436903,0.0759493670886076,9,broker
Paris Avgeriou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2094,42,0.0113460141600949,0.0859465737514518,7,broker
Lei Ma 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1342,64,0.0111201248257513,0.0972222222222222,9,broker
Li Li 0029,4:a207e2fc-2358-4733-aaec-376a2c17a19b:290,56,0.0110366428241969,0.1266233766233766,9,broker
Alberto Bacchelli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:546,52,0.0106124023479979,0.0806938159879336,8,broker
Mark Harman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:301,61,0.0102037398812511,0.1289617486338797,13,broker
Mehdi Mirakhorli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2275,46,0.0099992766720384,0.1178743961352657,10,broker
Chunyang Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:955,62,0.0099832851534881,0.1084082496033844,9,broker
Junjie Chen 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:140,87,0.0098967248420201,0.1053194333066025,14,broker
Anita Sarma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2749,65,0.0098680785003746,0.1125,9,broker
Patricia Lago,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1685,72,0.0097983535230355,0.0582942097026604,8,broker
Alessio Bucaioni,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5349,29,0.0096604451115716,0.1305418719211822,6,broker
Andrew Begel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:129,34,0.0095087344861063,0.1336898395721925,8,broker
Andrea Janes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1029,35,0.0091943214553463,0.1411764705882353,8,broker
Tingting Yu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:939,33,0.0091197013003149,0.2575757575757575,14,broker
Michael Felderer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4686,49,0.0089974409569014,0.2066326530612245,20,broker
Zhi Jin 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3432,49,0.0089797796422273,0.2559523809523809,22,broker
Gordon Fraser 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:20,61,0.0088474034664482,0.0633879781420765,7,broker
Yingfei Xiong 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:356,50,0.0087827743793284,0.116734693877551,8,broker
Leonardo Mariani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1208,29,0.0087502614299357,0.1034482758620689,6,broker
Lu Xiao 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:550,32,0.0086673996377692,0.219758064516129,10,broker
Zhendong Su 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:860,66,0.0086014274971364,0.0904428904428904,9,broker
