conference,year,assortativity
icsa,2017,-0.41279292808549567
icsa,2018,-0.3071590121553065
icsa,2019,-0.4599963830923282
icsa,2020,-0.31217594995135745
icsa,2021,-0.49895272173281374
icsa,2022,-0.4032894049924701
icsa,2023,-0.4412225677194238
icsa,2024,-0.456089393070273
icsa,2025,-0.3387675843563731
ecsa,2016,-0.3982956841327485
ecsa,2017,-0.3513513246691726
ecsa,2018,-0.4139690717776874
ecsa,2019,-0.4560997022906166
ecsa,2020,-0.4765036469508005
ecsa,2021,-0.5027977468698908
ecsa,2022,-0.48438129655088547
ecsa,2023,-0.42856980336195927
ecsa,2024,-0.49805248869480173
ecsa,2025,-0.5187372127700801
icse,2016,-0.25090753947351957
icse,2017,-0.2381418966983821
icse,2018,-0.1911977132511853
icse,2019,-0.20627139136537542
icse,2020,-0.22360938220382173
icse,2021,-0.23263774819811897
icse,2022,-0.19760243146804732
icse,2023,-0.19291262877052856
icse,2024,-0.15791446752013005
icse,2025,-0.1842727478173401
