name,conference,year,role
Patricia Lago,icsa,2017,broker
Matthias Galster,icsa,2017,broker
Damian A. Tamburri,icsa,2017,broker
Jan Bosch,icsa,2017,broker
Cesare Pautasso,icsa,2017,broker
Ivano Malavolta,icsa,2017,broker
Robert Heinrich,icsa,2017,broker
Paolo Di Francesco,icsa,2017,broker
Sébastien Gérard,icsa,2017,broker
Antony Tang,icsa,2017,broker
Romina Spalazzese,icsa,2017,broker
Remco C. de Boer,icsa,2017,broker
Rich Hilliard,icsa,2017,broker
Ingo Weber,icsa,2017,broker
Mark Staples,icsa,2017,broker
Jan Martijn E. M. van der Werf,icsa,2017,broker
Neil A. Ernst,icsa,2017,broker
Joanna C. S. Santos,icsa,2017,broker
Mehdi Mirakhorli,icsa,2017,broker
Andreas Wortmann 0001,icsa,2017,broker
Paul Rimba,icsa,2017,broker
Paul Davidsson,icsa,2017,broker
Xiwei Xu 0001,icsa,2017,broker
Fahed Alkhabbas,icsa,2017,broker
Radu Calinescu,icsa,2017,broker
Danny Weyns,icsa,2017,broker
Barbora Buhnova,icsa,2017,broker
Maryam Razavian,icsa,2017,broker
Christian Berger 0001,icsa,2017,broker
Wilhelm Hasselbring,icsa,2017,broker
Rainer Weinreich,icsa,2017,broker
David Gesvindr,icsa,2017,broker
Alexander Viehl,icsa,2017,core
Guido Steinacker,icsa,2017,broker
Tom-Michael Hesse,icsa,2017,core
Pieter J. L. Cuijpers,icsa,2017,core
Shuai Li,icsa,2017,core
Adriatik Bedjeti,icsa,2017,core
Matthew Forshaw,icsa,2017,core
Franck Fleurey,icsa,2017,broker
An Binh Tran,icsa,2017,core
Michael Buchholz,icsa,2017,core
Fajar J. Ekaputra,icsa,2017,core
Andreas Johnsen,icsa,2017,core
Kiana Rostami,icsa,2017,core
Albert Zündorf,icsa,2017,core
George Mathew,icsa,2017,core
Simos Gerasimou,icsa,2017,core
Sander Klock,icsa,2017,core
Christoph Ruhsam,icsa,2017,core
Sjaak Brinkkemper,icsa,2017,core
Bahar Jazayeri,icsa,2017,broker
Evren Çilden,icsa,2017,broker
Mauro Caporuscio,icsa,2017,core
Arvid Butting,icsa,2017,core
André van Hoorn,icsa,2017,core
Stefan Biffl,icsa,2017,core
Marta Sabou,icsa,2017,core
Antero Taivalsaari,icsa,2017,core
Björnborg Nguyen,icsa,2017,core
Jairo Veloz Vidal,icsa,2017,core
Simon Schwichtenberg,icsa,2017,broker
Stefan Haselbock,icsa,2017,broker
Guoqing Zheng,icsa,2017,core
Jae Young Bang,icsa,2017,core
Katy Tarrit,icsa,2017,core
Anton Scherer,icsa,2017,core
Harald Eisenmann,icsa,2017,core
Noël Plouzeau,icsa,2017,broker
Teerat Pitakrat,icsa,2017,core
Tobias Hoppe,icsa,2017,core
Franz Heiser,icsa,2017,core
Mark G. J. van den Brand,icsa,2017,core
Oliver Kautz,icsa,2017,core
Ilaria Pigazzini,icsa,2017,core
Hannes Klee,icsa,2017,core
Ina Schaefer,icsa,2017,core
Stefan Herrmann,icsa,2017,core
Juan Cadavid,icsa,2017,core
Torben Materna,icsa,2017,core
Christoph Czepa,icsa,2017,core
Oliver Creighton,icsa,2017,core
Robert Lagerström,icsa,2017,core
Dalila Tamzalit,icsa,2017,broker
