name,database_id,community_id,community_size
Aishan Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6984,0,632
Ali S. Alotaibi,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4635,0,632
Anders Fischer-Nielsen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11601,0,632
Andy Podgurski,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6931,0,632
Anran Li 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5645,0,632
Bai Xue 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4381,0,632
Bang Wu 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10304,0,632
Baoxu Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10403,0,632
Bernd Fischer 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9272,0,632
Biao He 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10744,0,632
Bicheng Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8351,0,632
Bihuan Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:552,0,632
Bin Li 0006,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3599,0,632
Bin Sheng,4:a207e2fc-2358-4733-aaec-376a2c17a19b:7896,0,632
Bin Yuan,4:a207e2fc-2358-4733-aaec-376a2c17a19b:752,0,632
Bin Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9636,0,632
Bing Sun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:15,0,632
Bing Yu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3098,0,632
Bingyan Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11077,0,632
Bo Liu 0033,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13712,0,632
Bo Wu 0018,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10566,0,632
Bohao Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5667,0,632
Bosen Min,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8338,0,632
Boxiang Lin,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5366,0,632
Bozhi Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11524,0,632
Byeongguk Kwak,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9061,0,632
Caiming Xiong,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5785,0,632
Can Yang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10401,0,632
Cen Zhang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1222,0,632
Chandan Dhal,4:a207e2fc-2358-4733-aaec-376a2c17a19b:9554,0,632
Chang Xu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:56,0,632
Changhua Luo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:8070,0,632
Changlin Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:964,0,632
Changsheng Sun,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5637,0,632
Changwei Zou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11219,0,632
Chao Ji,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2508,0,632
Chao Wang,4:a207e2fc-2358-4733-aaec-376a2c17a19b:6815,0,632
Chao Wu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:11834,0,632
