name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,connected_component
Yan Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:98,176,295,0.09656089227118214,0.03705933167317337,0
David Lo 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:212,140,252,0.05566624871535774,0.034585427683294354,0
Rick Kazman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:342,71,129,0.08169365884205708,0.0296880150658491,0
Patrizio Pelliccione,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1505,78,132,0.03408714977985473,0.02469849973398449,0
Thomas Zimmermann 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13,53,81,0.018738411302671964,0.018579929607564934,0
Christoph Treude,4:a207e2fc-2358-4733-aaec-376a2c17a19b:63,66,97,0.014292689898088965,0.01785537143725187,0
Hongyu Zhang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:168,173,285,0.03238926055313034,0.017487059326020644,0
Danny Weyns,4:a207e2fc-2358-4733-aaec-376a2c17a19b:997,77,99,0.013336811306253263,0.01693471743204978,0
Alexander Serebrenik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:668,52,75,0.02908377611649341,0.01524955174403715,0
Xin Xia 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:242,94,204,0.049834616829275265,0.014849163506375157,0
John C. Grundy,4:a207e2fc-2358-4733-aaec-376a2c17a19b:683,77,106,0.017664678941627158,0.014563744025417201,0
Nenad Medvidovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1889,52,87,0.013020197936543172,0.014208651710822542,0
Christian Kästner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2041,68,105,0.03492612207909309,0.013390255063719127,0
Mike Papadakis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:300,46,81,0.020934209080547828,0.0129498102731771,0
Rafael Prikladnicki,4:a207e2fc-2358-4733-aaec-376a2c17a19b:897,59,79,0.008663343634994509,0.01202224089187854,0
Yuanfang Cai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:923,55,98,0.016292281223618296,0.011908691098881445,0
Catia Trubiani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10784,43,60,0.009540879438650484,0.011859441983533505,0
Xiapu Luo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:327,80,102,0.010136917794995818,0.011516575043690311,0
Paris Avgeriou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2094,42,61,0.0136852286901153,0.011346014160094984,0
Lei Ma 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1342,64,85,0.008238782454523448,0.011120124825751396,0
Li Li 0029,4:a207e2fc-2358-4733-aaec-376a2c17a19b:290,56,95,0.017933349780850903,0.01103664282419698,0
Alberto Bacchelli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:546,52,68,0.009135413255770218,0.010612402347997941,0
Mark Harman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:301,61,107,0.012363936219093213,0.010203739881251108,0
Mehdi Mirakhorli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2275,46,70,0.0139862564155965,0.009999276672038454,0
Chunyang Chen 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:955,62,117,0.0253656905973356,0.009983285153488184,0
Junjie Chen 0003,4:a207e2fc-2358-4733-aaec-376a2c17a19b:140,87,137,0.013921785127398816,0.009896724842020147,0
Anita Sarma,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2749,65,117,0.014870995023240678,0.009868078500374694,0
Patricia Lago,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1685,72,131,0.03185059638099555,0.009798353523035513,0
Alessio Bucaioni,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5349,29,46,0.01762878895568907,0.009660445111571625,0
Andrew Begel,4:a207e2fc-2358-4733-aaec-376a2c17a19b:129,34,42,0.005464490255105045,0.009508734486106396,0
Andrea Janes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1029,35,57,0.008304638970707217,0.009194321455346311,0
Tingting Yu 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:939,33,34,0.005884862905184143,0.009119701300314934,0
Michael Felderer,4:a207e2fc-2358-4733-aaec-376a2c17a19b:4686,49,49,0.0069057324104602495,0.008997440956901458,0
Zhi Jin 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:3432,49,59,0.008816054627054294,0.008979779642227383,0
