name,database_id,degree_weighted,degree_total,betweenness_unweighted,betweenness_weighted,clustering_unweighted,clustering_weighted,connected_component,role
Yan Liu,4:a207e2fc-2358-4733-aaec-376a2c17a19b:98,176,295,0.0370593316731733,0.0965608922711821,0.0481818181818181,0.0037233681320687,0,broker
David Lo 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:212,140,252,0.0345854276832943,0.0556662487153577,0.0505652620760534,0.0045842411796288,0,broker
Rick Kazman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:342,71,129,0.0296880150658491,0.081693658842057,0.0780684104627766,0.0066784855280561,0,broker
Patrizio Pelliccione,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1505,78,132,0.0246984997339844,0.0340871497798547,0.0642690642690642,0.0047090745303706,0,broker
Thomas Zimmermann 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:13,53,81,0.0185799296075649,0.0187384113026719,0.0892597968069666,0.0063143679687629,0,broker
Christoph Treude,4:a207e2fc-2358-4733-aaec-376a2c17a19b:63,66,97,0.0178553714372518,0.0142926898980889,0.0797202797202797,0.0054866965873127,0,broker
Hongyu Zhang 0002,4:a207e2fc-2358-4733-aaec-376a2c17a19b:168,173,285,0.0174870593260206,0.0323892605531303,0.0543755881166823,0.0041700971179617,0,broker
Danny Weyns,4:a207e2fc-2358-4733-aaec-376a2c17a19b:997,77,99,0.0169347174320497,0.0133368113062532,0.1165413533834586,0.0062721577846217,0,broker
Alexander Serebrenik,4:a207e2fc-2358-4733-aaec-376a2c17a19b:668,52,75,0.0152495517440371,0.0290837761164934,0.0716440422322775,0.0049785699919457,0,broker
Xin Xia 0001,4:a207e2fc-2358-4733-aaec-376a2c17a19b:242,94,204,0.0148491635063751,0.0498346168292752,0.0803019903912148,0.0085090834925965,0,broker
John C. Grundy,4:a207e2fc-2358-4733-aaec-376a2c17a19b:683,77,106,0.0145637440254172,0.0176646789416271,0.0632262474367737,0.0042106379891662,0,broker
Nenad Medvidovic,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1889,52,87,0.0142086517108225,0.0130201979365431,0.1101055806938159,0.0078162859251363,0,broker
Christian Kästner,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2041,68,105,0.0133902550637191,0.034926122079093,0.0702370500438981,0.0048556838403506,0,broker
Mike Papadakis,4:a207e2fc-2358-4733-aaec-376a2c17a19b:300,46,81,0.0129498102731771,0.0209342090805478,0.0975845410628019,0.009034088090167,0,broker
Rafael Prikladnicki,4:a207e2fc-2358-4733-aaec-376a2c17a19b:897,59,79,0.0120222408918785,0.0086633436349945,0.157218001168907,0.0080759897282554,0,broker
Yuanfang Cai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:923,55,98,0.0119086910988814,0.0162922812236182,0.1191919191919192,0.0099231154537774,0,broker
Catia Trubiani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10784,43,60,0.0118594419835335,0.0095408794386504,0.1339977851605758,0.0080741542638975,0,broker
Xiapu Luo,4:a207e2fc-2358-4733-aaec-376a2c17a19b:327,80,102,0.0115165750436903,0.0101369177949958,0.0759493670886076,0.0045796481206178,0,broker
