name,database_id,n_conferences,ICSA,ICSE,ECSA,total_pubs,degree_weighted,betweenness_unweighted,betweenness_weighted,clustering_unweighted,connected_component
Rick Kazman,4:a207e2fc-2358-4733-aaec-376a2c17a19b:342,3,8,27,6,41,71,0.0296880150658491,0.081693658842057,0.0780684104627766,0
Patrizio Pelliccione,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1505,3,15,18,4,37,78,0.0246984997339844,0.0340871497798547,0.0642690642690642,0
Danny Weyns,4:a207e2fc-2358-4733-aaec-376a2c17a19b:997,3,4,19,4,27,77,0.0169347174320497,0.0133368113062532,0.1165413533834586,0
Yuanfang Cai,4:a207e2fc-2358-4733-aaec-376a2c17a19b:923,3,6,17,1,24,55,0.0119086910988814,0.0162922812236182,0.1191919191919192,0
Catia Trubiani,4:a207e2fc-2358-4733-aaec-376a2c17a19b:10784,3,6,2,10,18,43,0.0118594419835335,0.0095408794386504,0.1339977851605758,0
Paris Avgeriou,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2094,3,8,7,4,19,42,0.0113460141600949,0.0136852286901153,0.0859465737514518,0
Mehdi Mirakhorli,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2275,3,6,13,2,21,46,0.0099992766720384,0.0139862564155965,0.1178743961352657,0
Patricia Lago,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1685,3,18,15,15,48,72,0.0097983535230355,0.0318505963809955,0.0582942097026604,0
Alessio Bucaioni,4:a207e2fc-2358-4733-aaec-376a2c17a19b:5349,3,12,1,1,14,29,0.0096604451115716,0.017628788955689,0.1305418719211822,0
Andrea Janes,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1029,3,4,8,2,14,35,0.0091943214553463,0.0083046389707072,0.1411764705882353,0
Ilias Gerostathopoulos,4:a207e2fc-2358-4733-aaec-376a2c17a19b:111,3,5,14,8,27,61,0.0081865474415603,0.0167233351530942,0.1234972677595628,0
Ivano Malavolta,4:a207e2fc-2358-4733-aaec-376a2c17a19b:1050,3,8,16,5,29,53,0.0081770729309353,0.0188884649503065,0.0798258345428156,0
Jan Bosch,4:a207e2fc-2358-4733-aaec-376a2c17a19b:463,3,5,14,3,22,35,0.0080040386453851,0.0079397840558844,0.1109243697478991,0
Tommi Mikkonen,4:a207e2fc-2358-4733-aaec-376a2c17a19b:831,3,3,11,2,16,39,0.0074026298873622,0.0066518201825346,0.0742240215924426,0
Francesca Arcelli Fontana,4:a207e2fc-2358-4733-aaec-376a2c17a19b:2202,3,3,10,6,19,36,0.007353620884223,0.012871024514102,0.1047619047619047,0
