name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Paris Avgeriou,Paris Avgeriou,42,61,0.2602842758038182,0.23102279922054325,0.006968641114982578,0.0006497091001930108,0
Catia Trubiani,Catia Trubiani,43,60,0.16615763706992445,0.18150453859038443,0.042081949058693245,0.004492946147063523,0
Uwe Zdun,Uwe Zdun,48,82,0.1823068159305528,0.13032537742761383,0.015957446808510637,0.0020272648720104968,0
Mehdi Mirakhorli,Mehdi Mirakhorli,46,70,0.09960961138731395,0.13003641173498823,0.014492753623188406,0.0015316128204125921,0
Ilias Gerostathopoulos,Ilias Gerostathopoulos,61,99,0.2048404362537461,0.12870156905741104,0.02185792349726776,0.003412015560258444,0
Robert Heinrich,Robert Heinrich,62,128,0.2194437194774892,0.12094349210258329,0.06927551560021153,0.010650102419859324,0
André van Hoorn,André van Hoorn,38,61,0.11927849219288444,0.12076374775258208,0.04836415362731152,0.004797625292459906,0
Tomás Bures,Tomás Bures,39,89,0.20746898745190026,0.11545515754825585,0.08367071524966262,0.014297768343289781,0
Andrea Janes,Andrea Janes,35,57,0.0901206880732959,0.09673824105032151,0.05714285714285714,0.005982176195422559,0
Muhammad Ali Babar 0001,Muhammad Ali Babar 0001,44,52,0.09123715027845648,0.08707624513548043,0.013742071881606765,0.0010049217385352006,0
Danny Weyns,Danny Weyns,5,6,0.06172928662098574,0.07697049551272138,0.1,0.013701178190724833,0
Anne Koziolek,Anne Koziolek,64,133,0.1576558065752,0.07601088999486581,0.06696428571428571,0.010790825491350743,0
Miroslaw Staron,Miroslaw Staron,35,45,0.09183388207029493,0.06977546344563872,0.025210084033613446,0.0014005602240896356,0
Alexander Egyed,Alexander Egyed,3,5,0.05271340207482319,0.06943445502086458,0.0,0.0,0
Heiko Koziolek,Heiko Koziolek,5,5,0.026421162754692626,0.06631042799021777,0.3,0.02346655605871842,0
Stefan Wagner 0001,Stefan Wagner 0001,44,72,0.07509503186028643,0.06492283762758533,0.005285412262156448,0.00038918752945429246,0
Federico Ciccozzi,Federico Ciccozzi,25,34,0.05062170010974739,0.06031183278558834,0.03333333333333333,0.0023989935654853737,0
Patrizio Pelliccione,Patrizio Pelliccione,4,4,0.04079865729778231,0.05747576422859782,0.0,0.0,0
Barbora Buhnova,Barbora Buhnova,20,38,0.06961033386477486,0.05564052854847281,0.0,0.0,0
Vincenzo Ferme,Vincenzo Ferme,5,5,0.04123102612239507,0.05390686565850007,0.6,0.04888138279725134,0
Alessia Knauss,Alessia Knauss,4,4,0.07005369511713201,0.05347144394362523,0.5,0.05095889078430429,0
Henry Muccini,Henry Muccini,33,78,0.0804258358673765,0.0531299083253533,0.030303030303030304,0.006500706530720428,0
Cesare Pautasso,Cesare Pautasso,20,25,0.04053379213403647,0.04894456970531724,0.015789473684210527,0.0017936752953065206,0
Marion Wiese,Marion Wiese,3,3,0.030041963763907435,0.046427127802627824,0.0,0.0,0
Lukas Linsbauer,Lukas Linsbauer,7,16,0.03342326173023525,0.041754475062604234,0.23809523809523808,0.023198408151401145,0
Raffaela Mirandola,Raffaela Mirandola,25,56,0.07725687598335024,0.0359998843212443,0.16333333333333333,0.021933258141428748,0
