name,database_id,degree_weighted,degree_total,betweenness_weighted,betweenness_unweighted,clustering_unweighted,clustering_weighted,connected_component
Pablo Oliveira Antonino,Pablo Oliveira Antonino,9,10,0.0009387267451783581,0.0009387267451783581,0.3333333333333333,0.1811067249941596,0
Volker Gruhn,Volker Gruhn,7,7,0.0005120327700972862,0.0005120327700972862,0.42857142857142855,0.21428571428571427,1
Danny Weyns,Danny Weyns,4,4,0.00038402457757296467,0.00038402457757296467,0.5,0.25,3
Fabian Gilson,Fabian Gilson,3,3,0.0003413551800648575,0.0003413551800648575,0.3333333333333333,0.16666666666666666,3
Stefan Kugele,Stefan Kugele,5,5,0.00017067759003242875,0.00017067759003242875,0.6,0.3,8
Ralf H. Reussner,Ralf H. Reussner,4,4,0.00017067759003242875,0.00017067759003242875,0.3333333333333333,0.16666666666666666,12
Anne Koziolek,Anne Koziolek,3,3,8.533879501621438e-05,8.533879501621438e-05,0.3333333333333333,0.16666666666666666,27
Jasmin Jahic,Jasmin Jahic,5,6,8.533879501621438e-05,8.533879501621438e-05,0.6,0.3519842099789746,0
Muhammad Ali Babar 0001,Muhammad Ali Babar 0001,3,3,8.533879501621438e-05,8.533879501621438e-05,0.3333333333333333,0.16666666666666666,26
Patricia Lago,Patricia Lago,4,5,4.266939750810719e-05,4.266939750810719e-05,0.6666666666666666,0.3983135958070516,17
Roberto Verdecchia,Roberto Verdecchia,4,5,4.266939750810719e-05,4.266939750810719e-05,0.6666666666666666,0.3983135958070516,17
Stefan Wagner 0001,Stefan Wagner 0001,6,8,4.266939750810718e-05,4.266939750810718e-05,0.8,0.5026456133052994,4
Alfred Zimmermann,Alfred Zimmermann,6,8,4.266939750810718e-05,4.266939750810718e-05,0.8,0.5026456133052994,4
Justus Bogner,Justus Bogner,6,8,4.266939750810718e-05,4.266939750810718e-05,0.8,0.5026456133052994,4
Rogardt Heldal,Rogardt Heldal,4,6,1.4223132502702396e-05,1.4223132502702396e-05,0.8333333333333334,0.5866403499649576,15
Rebekka Wohlrab,Rebekka Wohlrab,4,6,1.4223132502702396e-05,1.4223132502702396e-05,0.8333333333333334,0.5866403499649576,15
Patrizio Pelliccione,Patrizio Pelliccione,4,6,1.4223132502702396e-05,1.4223132502702396e-05,0.8333333333333334,0.5866403499649576,15
Dimitri Van Landuyt,Dimitri Van Landuyt,6,6,0.0,0.0,1.0,0.5,2
Ole Meyer,Ole Meyer,3,3,0.0,0.0,1.0,0.5,1
Michel Wermelinger,Michel Wermelinger,2,2,0.0,0.0,1.0,0.5,31
Uwe Mayer,Uwe Mayer,3,3,0.0,0.0,1.0,0.5433201749824789,0
Chenxing Zhong,Chenxing Zhong,4,4,0.0,0.0,1.0,0.5,14
Uwe Zdun,Uwe Zdun,2,4,0.0,0.0,1.0,1.0,30
Robert Heinrich,Robert Heinrich,2,2,0.0,0.0,1.0,0.5,12
Vittorio Cortellessa,Vittorio Cortellessa,4,4,0.0,0.0,1.0,0.5,13
Michael Colesky,Michael Colesky,3,3,0.0,0.0,1.0,0.5,20
Christian Decker 0003,Christian Decker 0003,1,1,0.0,0.0,0.0,0.0,41
Philippe Kruchten,Philippe Kruchten,3,3,0.0,0.0,1.0,0.5433201749824789,17
Jan Bosch,Jan Bosch,3,3,0.0,0.0,1.0,0.5,23
Carlos E. Cuesta,Carlos E. Cuesta,3,3,0.0,0.0,1.0,0.5,24
Cheng Zhang 0010,Cheng Zhang 0010,4,4,0.0,0.0,1.0,0.5,14
Radu Calinescu,Radu Calinescu,3,3,0.0,0.0,1.0,0.5,3
Thomas F. Düllmann,Thomas F. Düllmann,2,2,0.0,0.0,1.0,0.5,32
Christopher Gerking,Christopher Gerking,1,1,0.0,0.0,0.0,0.0,42
Markus Frank,Markus Frank,2,2,0.0,0.0,1.0,0.5,33
Paolo Arcaini,Paolo Arcaini,3,3,0.0,0.0,1.0,0.5,25
Maik Wojcieszak,Maik Wojcieszak,6,6,0.0,0.0,1.0,0.5,5
Pim De Jong,Pim De Jong,4,4,0.0,0.0,1.0,0.5,18
Christof Tinnes,Christof Tinnes,5,5,0.0,0.0,1.0,0.5,9
Dominik Ernst,Dominik Ernst,2,2,0.0,0.0,1.0,0.5,34
