author,pub_key,title,year,conference
Jihyun Park,conf/icse/ParkPCC18,Memory corruption detecting method using static variables and dynamic memory usage.,2018,ICSE
Changsun Park,conf/icse/ParkPCC18,Memory corruption detecting method using static variables and dynamic memory usage.,2018,ICSE
Byoungju Choi,conf/icse/ParkPCC18,Memory corruption detecting method using static variables and dynamic memory usage.,2018,ICSE
Gihun Chang,conf/icse/ParkPCC18,Memory corruption detecting method using static variables and dynamic memory usage.,2018,ICSE
Jianmei Guo,conf/icse/GuoS18,To preserve or not to preserve invalid solutions in search-based software engineering: a case study in software product lines.,2018,ICSE
Kai Shi 0006,conf/icse/GuoS18,To preserve or not to preserve invalid solutions in search-based software engineering: a case study in software product lines.,2018,ICSE
Zhen Tian,conf/icse/TianYC23,RM2DM: A Tool for Automatic Generation of OO Design Models from Requirements Models.,2023,ICSE
Yilong Yang 0001,conf/icse/TianYC23,RM2DM: A Tool for Automatic Generation of OO Design Models from Requirements Models.,2023,ICSE
Sheng Cheng,conf/icse/TianYC23,RM2DM: A Tool for Automatic Generation of OO Design Models from Requirements Models.,2023,ICSE
Florian Magin,conf/icse/MaginPS25,Heros in Action: Analyzing Objective-C Binaries through Decompilation and IFDS.,2025,ICSE
Gwendal Patat,conf/icse/MaginPS25,Heros in Action: Analyzing Objective-C Binaries through Decompilation and IFDS.,2025,ICSE
Fabian Scherf,conf/icse/MaginPS25,Heros in Action: Analyzing Objective-C Binaries through Decompilation and IFDS.,2025,ICSE
Jenna L. Butler,conf/icse/Butler0B24,"Objectives and Key Results in Software Teams: Challenges, Opportunities and Impact on Development.",2024,ICSE
Thomas Zimmermann 0001,conf/icse/Butler0B24,"Objectives and Key Results in Software Teams: Challenges, Opportunities and Impact on Development.",2024,ICSE
Christian Bird,conf/icse/Butler0B24,"Objectives and Key Results in Software Teams: Challenges, Opportunities and Impact on Development.",2024,ICSE
Bing Sun,conf/icse/Sun0PS22,Causality-Based Neural Network Repair.,2022,ICSE
Jun Sun 0001,conf/icse/Sun0PS22,Causality-Based Neural Network Repair.,2022,ICSE
Long H. Pham,conf/icse/Sun0PS22,Causality-Based Neural Network Repair.,2022,ICSE
