name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,status
Adailton M. Lima,Adailton Magalhães Lima,adailton lima,adailton lima,1.0,1,both
Aditya Ghose,Aditya K. Ghose,aditya ghose,aditya ghose,1.0,1,both
Akond Ashfaque Ur Rahman,Akond Rahman,akond rahman,akond rahman,1.0,1,both
Alessandro F. Garcia 0001,Alessandro Garcia 0001,alessandro garcia,alessandro garcia,1.0,8,both
An Chen,An Ran Chen,an chen,an chen,1.0,0,manual_only
Andre Luís de Medeiros Santos,André Santos 0001,andre santos,andre santos,1.0,0,manual_only
André A. Meyer,André N. Meyer,andre meyer,andre meyer,1.0,1,resolved_only
Anh Tuan Nguyen 0001,Thanh Van Nguyen,anh nguyen,thanh nguyen,0.909,5,resolved_only
Awdren L. Fontão,Awdren de Lima Fontão,awdren fontao,awdren fontao,1.0,1,both
Ayse Basar Bener,Ayse Bener,ayse bener,ayse bener,1.0,2,both
Bora Caglayan,Bora Çaglayan,bora caglayan,bora caglayan,1.0,2,both
Bruno C. da Silva 0002,Bruno Castro da Silva,bruno silva,bruno silva,1.0,0,manual_only
Bruno C. da Silva 0002,Bruno da Silva 0002,bruno silva,bruno silva,1.0,0,manual_only
Bruno Castro da Silva,Bruno da Silva 0002,bruno silva,bruno silva,1.0,0,manual_only
Carlos José Pereira de Lucena,Carlos Lucena,carlos lucena,carlos lucena,1.0,3,both
Carlos M. Aderaldo,Carlos Mendes Aderaldo,carlos aderaldo,carlos aderaldo,1.0,2,both
Carlos S. S. Marinho,Carlos Sérgio da S. Marinho,carlos marinho,carlos marinho,1.0,1,both
Cen Zhang,Chen Zhang,cen zhang,chen zhang,0.947,1,resolved_only
Chanchal K. Roy,Chanchal Kumar Roy,chanchal roy,chanchal roy,1.0,2,both
Chanchal K. Roy,Chanchal Roy,chanchal roy,chanchal roy,1.0,3,both
Chen Zhang,Chenxi Zhang 0003,chen zhang,chenxi zhang,0.909,1,resolved_only
Christopher A. Sanchez,Christopher Sanchez,christopher sanchez,christopher sanchez,1.0,2,both
Chunyang Chen 0001,Chuyang Chen 0001,chunyang chen,chuyang chen,0.96,1,resolved_only
Cláudia M. L. Werner,Cláudia Maria Lima Werner,claudia werner,claudia werner,1.0,1,both
Damian A. Tamburri,Damian Andrew Tamburri,damian tamburri,damian tamburri,1.0,7,both
Danfeng (Daphne) Yao,Danfeng Daphne Yao,danfeng yao,danfeng yao,1.0,1,both
Daniel Oliveira 0005,Daniel Tenório Martins de Oliveira,daniel oliveira,daniel oliveira,1.0,2,both
Darryl C. Jarman,Darryl Jarman,darryl jarman,darryl jarman,1.0,3,both
Dimitrios S. Kolovos,Dimitris S. Kolovos,dimitrios kolovos,dimitris kolovos,0.97,1,resolved_only
Edson César Cunha de Oliveira,Edson Oliveira 0001,edson oliveira,edson oliveira,1.0,2,both
Eduardo Bezerra da Silva,Eduardo Ferreira da Silva,eduardo silva,eduardo silva,1.0,0,manual_only
Eduardo Bezerra da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,manual_only
Eduardo Ferreira da Silva,Eduardo Silva 0001,eduardo silva,eduardo silva,1.0,0,manual_only
Eliane Stampfer Wiese,Eliane Wiese,eliane wiese,eliane wiese,1.0,1,both
Emanuel F. Coutinho,Emanuel Ferreira Coutinho,emanuel coutinho,emanuel coutinho,1.0,0,manual_only
Erik A. Jagroep,Erik Jagroep,erik jagroep,erik jagroep,1.0,5,both
Fabio Q. B. da Silva,Fabio Queda Bueno da Silva,fabio silva,fabio silva,1.0,0,manual_only
Fabio Q. B. da Silva,Fabio Silva,fabio silva,fabio silva,1.0,0,manual_only
Fabiola Moyon,Fabiola Moyón,fabiola moyon,fabiola moyon,1.0,2,both
Fernando Figueira Filho,Fernando Marques Figueira Filho,fernando filho,fernando filho,1.0,2,both
Fábio Basso,Fábio Paulo Basso,fabio basso,fabio basso,1.0,1,both
Ganesha B. Upadhyaya,Ganesha Upadhyaya,ganesha upadhyaya,ganesha upadhyaya,1.0,3,both
Gudjon Einar Magnusson,Gudjon Magnusson,gudjon magnusson,gudjon magnusson,1.0,2,both
Guenther Ruhe,Günther Ruhe,guenther ruhe,gunther ruhe,0.96,1,resolved_only
Hoan Anh Nguyen,Hoan Nguyen,hoan nguyen,hoan nguyen,1.0,5,both
Hung Dang Phan,Hung Phan,hung phan,hung phan,1.0,2,both
Hyoungjoo Ahn,Yongjoo Ahn,hyoungjoo ahn,yongjoo ahn,0.917,10,resolved_only
Igor Fabio Steinmacher,Igor Steinmacher,igor steinmacher,igor steinmacher,1.0,1,both
Igor Scaliante Wiese,Igor Wiese,igor wiese,igor wiese,1.0,3,both
Jaime Navon,Jaime Navón,jaime navon,jaime navon,1.0,1,both
Jan Pacovsky,Jan Pacovský,jan pacovsky,jan pacovsky,1.0,2,both
Jane Wyngaard,Janet Wyngaard,jane wyngaard,janet wyngaard,0.963,2,resolved_only
Javam C. Machado,Javam de Castro Machado,javam machado,javam machado,1.0,1,both
Jia-Guang Sun 0001,Jiaguang Sun 0001,jia-guang sun,jiaguang sun,0.96,2,resolved_only
Jiacheng Wang,Jincheng Wang,jiacheng wang,jincheng wang,0.923,1,resolved_only
Jian Lu 0001,Jian Lü 0001,jian lu,jian lu,1.0,5,both
Jim Alain Laredo,Jim Laredo,jim laredo,jim laredo,1.0,1,both
Jin Guo 0004,Jin L. C. Guo,jin guo,jin guo,1.0,2,both
JingZheng Wu,Jingzheng Wu,jingzheng wu,jingzheng wu,1.0,3,both
Johan J. Lukkien,Johan Lukkien,johan lukkien,johan lukkien,1.0,1,both
John C. Grundy,John Grundy 0001,john grundy,john grundy,1.0,12,both
