name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors

John C. Grundy,John Grundy 0001,john grundy,john grundy,1.0,12,Hourieh Khalajzadeh; Humphrey O. Obie; Jean-Guy Schneider; Jun Han; Li Li; Miao Du; Mohamed Abdelrazek; Mojtaba Shahin; Pei Liu; Rajesh Vasa; Scott Barnett; Yanjie Zhao

Alessandro F. Garcia 0001,Alessandro Garcia 0001,alessandro garcia,alessandro garcia,1.0,8,Ana Carla Bibiano; Baldoino Fonseca; Daniel Oliveira; Leonardo da Silva Sousa; Rafael Maiani de Mello; Roberto Felicio Oliveira; Wesley K. G. Assunção; Willian Nalepa Oizumi

Tse-Hsun (Peter) Chen,Tse-Hsun Chen,tse-hsun chen,tse-hsun chen,1.0,7,Ahmed E. Hassan; An Ran Chen; Jinqiu Yang; Mohamed N. Nasser; Parminder Flora; Weiyi Shang; Zhenhao Li

Damian A. Tamburri,Damian Andrew Tamburri,damian tamburri,damian tamburri,1.0,7,Alexander Serebrenik; Elisabetta Di Nitto; Fabiano Pecorelli; Fabio Palomba; Gemma Catolino; Michele Guerriero; Rick Kazman

LiGuo Huang,Liguo Huang,liguo huang,liguo huang,1.0,6,Alexander Egyed; Bin Luo; Christoph Mayr-Dorn; Feifei Niu; Jidong Ge; Wesley K. G. Assunção

Mohamed Abdelrazek 0001,Mohamed Almorsy Abdelrazek,mohamed abdelrazek,mohamed abdelrazek,1.0,6,Andrew Cain; Feifei Chen; Jean-Guy Schneider; John C. Grundy; Kevin Lee; Peter W. Eklund

Jian Lu 0001,Jian Lü 0001,jian lu,jian lu,1.0,5,Chang Xu; Chun Cao; Tianxiao Gu; Xiaoxing Ma; Yanyan Jiang

Tse-Hsun Chen,Tse-Hsun Peter Chen,tse-hsun chen,tse-hsun chen,1.0,5,Dong Jae Kim; Jinqiu Yang; Weiyi Shang; Zeyang Ma; Zhenhao Li

Hoan Anh Nguyen,Hoan Nguyen,hoan nguyen,hoan nguyen,1.0,5,Hieu Tran; Ngoc M. Tran; Omer Tripp; Son Nguyen; Tien N. Nguyen

Tayana Conte,Tayana Uchôa Conte,tayana conte,tayana conte,1.0,5,Bruno Gadelha; Edson César Cunha de Oliveira; Igor Steinmacher; Marco Aurélio Gerosa; Patrícia G. F. Matsubara

Erik A. Jagroep,Erik Jagroep,erik jagroep,erik jagroep,1.0,5,Jan Martijn E. M. van der Werf; Leen Blom; Patricia Lago; Rob van Vliet; Sjaak Brinkkemper

Shizhuo Dylan Zhang,Shizhuo Zhang,shizhuo zhang,shizhuo zhang,1.0,4,Alex Sanchez-Stern; Talia Ringer; Yuriy Brun; Zhanna Kaufman

Tse-Hsun (Peter) Chen,Tse-Hsun Peter Chen,tse-hsun chen,tse-hsun chen,1.0,4,Heng Li; Jinqiu Yang; Weiyi Shang; Zhenhao Li

Miguel A. Jiménez 0003,Miguel Jiménez 0003,miguel jimenez,miguel jimenez,1.0,4,Gabriel Tamura; Hausi A. Müller; Luis F. Rivera; Norha M. Villegas

Thaís Batista,Thaís Vasconcelos Batista,thais batista,thais batista,1.0,4,Eduardo Silva; Everton Cavalcante; Flávio Oquendo; Jair C. Leite

JingZheng Wu,Jingzheng Wu,jingzheng wu,jingzheng wu,1.0,3,Mutian Yang; Tianyue Luo; Yanjun Wu

Chanchal K. Roy,Chanchal Roy,chanchal roy,chanchal roy,1.0,3,Banani Roy; Debasish Chakroborti; Kevin A. Schneider

Igor Scaliante Wiese,Igor Wiese,igor wiese,igor wiese,1.0,3,Gustavo Pinto; Igor Steinmacher; Marco Aurélio Gerosa

Carlos José Pereira de Lucena,Carlos Lucena,carlos lucena,carlos lucena,1.0,3,Leonardo da Silva Sousa; Rafael Maiani de Mello; Roberto Felicio Oliveira

Margaret Burnett,Margaret M. Burnett,margaret burnett,margaret burnett,1.0,3,Anita Sarma; Claudia Hilderbrand; Zoe Steine-Hanson

Mattias Galnander,Mattias Gålnander,mattias galnander,mattias galnander,1.0,3,John Lundbäck; Kurt-Lennart Lundbäck; Saad Mubeen

João Felipe Nicolaci Pimentel,João Felipe Pimentel,joao pimentel,joao pimentel,1.0,3,Anita Sarma; Igor Steinmacher; Marco Aurélio Gerosa

Letícia Machado,Letícia S. Machado,leticia machado,leticia machado,1.0,3,Cleidson R. B. de Souza; Igor Steinmacher; Sabrina Marczak

Ganesha B. Upadhyaya,Ganesha Upadhyaya,ganesha upadhyaya,ganesha upadhyaya,1.0,3,Hoan Anh Nguyen; Hridesh Rajan; Ramanathan Ramu

Darryl C. Jarman,Darryl Jarman,darryl jarman,darryl jarman,1.0,3,Jeffrey Berry; Owen Johnston; Zhi Quan Zhou

Jin Guo 0004,Jin L. C. Guo,jin guo,jin guo,1.0,2,Jane Cleland-Huang; Jinghui Cheng

Zhen Ming Jack Jiang,Zhen Ming Jiang,zhen jiang,zhen jiang,1.0,2,Boyuan Chen; Yong Shi

Ronnie E. S. Santos,Ronnie Edson de Souza Santos,ronnie santos,ronnie santos,1.0,2,Cleyton V. C. de Magalhães; Maria Teresa Baldassarre

Wesley K. G. Assunção,Wesley Klewerton Guez Assunção,wesley assuncao,wesley assuncao,1.0,2,Alexander Egyed; Christoph Mayr-Dorn

Hung Dang Phan,Hung Phan,hung phan,hung phan,1.0,2,Anh Tuan Nguyen; Tien N. Nguyen

Daniel Oliveira 0005,Daniel Tenório Martins de Oliveira,daniel oliveira,daniel oliveira,1.0,2,Alessandro Garcia; Baldoino Fonseca

Edson César Cunha de Oliveira,Edson Oliveira 0001,edson oliveira,edson oliveira,1.0,2,Adriana Lopes; Tayana Conte

Christopher A. Sanchez,Christopher Sanchez,christopher sanchez,christopher sanchez,1.0,2,Anita Sarma; Rahul Pandita

Chanchal K. Roy,Chanchal Kumar Roy,chanchal roy,chanchal roy,1.0,2,Jeffrey Svajlenko; Mohammad Masudur Rahman

Mauricio Finavaro Aniche,Maurício Finavaro Aniche,mauricio aniche,mauricio aniche,1.0,2,Arie van Deursen; Christoph Treude

Fabiola Moyon,Fabiola Moyón,fabiola moyon,fabiola moyon,1.0,2,Florian Angermeir; Markus Voggenreiter

Carlos M. Aderaldo,Carlos Mendes Aderaldo,carlos aderaldo,carlos aderaldo,1.0,2,David Garlan; Nabor C. Mendonça

Rodrigo O. Spínola,Rodrigo Oliveira Spínola,rodrigo spinola,rodrigo spinola,1.0,2,Carolyn B. Seaman; Nicolli Rios

Gudjon Einar Magnusson,Gudjon Magnusson,gudjon magnusson,gudjon magnusson,1.0,2,Adam A. Porter; Mikael Lindvall

Ayse Basar Bener,Ayse Bener,ayse bener,ayse bener,1.0,2,Shirin Akbarinasaji; Syed Shariyar Murtaza

Bora Caglayan,Bora Çaglayan,bora caglayan,bora caglayan,1.0,2,Andriy V. Miranskyy; Ayse Basar Bener

Roberto E. Lopez-Herrejon,Roberto Erick Lopez-Herrejon,roberto lopez-herrejon,roberto lopez-herrejon,1.0,2,Alexander Egyed; Lukas Linsbauer

Mark G. J. van den Brand,Mark van den Brand,mark brand,mark brand,1.0,2,Priyanka Karkhanis; Yanja Dajsuren

