name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Adailton M. Lima,Adailton Magalhães Lima,adailton lima,adailton lima,1.0,1,Rodrigo Quites Reis
Aditya Ghose,Aditya K. Ghose,aditya ghose,aditya ghose,1.0,1,Hoa Khanh Dam
Akond Ashfaque Ur Rahman,Akond Rahman,akond rahman,akond rahman,1.0,1,Laurie A. Williams
Alessandro F. Garcia 0001,Alessandro Garcia 0001,alessandro garcia,alessandro garcia,1.0,8,Ana Carla Bibiano; Baldoino Fonseca; Daniel Oliveira; Leonardo da Silva Sousa; Rafael Maiani de Mello; Roberto Felicio Oliveira; Wesley K. G. Assunção; Willian Nalepa Oizumi
André A. Meyer,André N. Meyer,andre meyer,andre meyer,1.0,1,Thomas Fritz
Anh Tuan Nguyen 0001,Thanh Van Nguyen,anh nguyen,thanh nguyen,0.909,5,Hung Dang Phan; Mark Karanfil; Peter C. Rigby; Tien N. Nguyen; Trong Duc Nguyen
Awdren L. Fontão,Awdren de Lima Fontão,awdren fontao,awdren fontao,1.0,1,Rodrigo Pereira dos Santos
Ayse Basar Bener,Ayse Bener,ayse bener,ayse bener,1.0,2,Shirin Akbarinasaji; Syed Shariyar Murtaza
Bora Caglayan,Bora Çaglayan,bora caglayan,bora caglayan,1.0,2,Andriy V. Miranskyy; Ayse Basar Bener
Carlos José Pereira de Lucena,Carlos Lucena,carlos lucena,carlos lucena,1.0,3,Leonardo da Silva Sousa; Rafael Maiani de Mello; Roberto Felicio Oliveira
Carlos M. Aderaldo,Carlos Mendes Aderaldo,carlos aderaldo,carlos aderaldo,1.0,2,David Garlan; Nabor C. Mendonça
Carlos S. S. Marinho,Carlos Sérgio da S. Marinho,carlos marinho,carlos marinho,1.0,1,Leonardo O. Moreira
Cen Zhang,Chen Zhang,cen zhang,chen zhang,0.947,1,Xin Peng
Chanchal K. Roy,Chanchal Kumar Roy,chanchal roy,chanchal roy,1.0,2,Jeffrey Svajlenko; Mohammad Masudur Rahman
Chanchal K. Roy,Chanchal Roy,chanchal roy,chanchal roy,1.0,3,Banani Roy; Debasish Chakroborti; Kevin A. Schneider
Chen Zhang,Chenxi Zhang 0003,chen zhang,chenxi zhang,0.909,1,Xin Peng
Christopher A. Sanchez,Christopher Sanchez,christopher sanchez,christopher sanchez,1.0,2,Anita Sarma; Rahul Pandita
Chunyang Chen 0001,Chuyang Chen 0001,chunyang chen,chuyang chen,0.96,1,Ting Su
Cláudia M. L. Werner,Cláudia Maria Lima Werner,claudia werner,claudia werner,1.0,1,Toacy Cavalcante de Oliveira
